fecha_reparto,pred
2024-07-13,9671.7724609375
2024-07-14,9910.1416015625
2024-07-15,9043.65234375
2024-07-17,8817.20703125
2024-07-18,9944.43359375
2024-07-19,9972.9267578125
2024-07-20,9617.1337890625
2024-07-21,9896.0205078125
2024-07-22,8826.978515625
2024-07-24,8817.20703125
2024-07-25,9818.025390625
2024-07-26,9881.7060546875
2024-07-27,9694.220703125
2024-07-28,10225.546875
2024-07-31,8988.0048828125
2024-08-01,9454.7431640625
2024-08-02,9785.4140625
2024-08-03,10057.142578125
2024-08-04,9893.77734375
2024-08-05,8977.5830078125
2024-08-07,9828.47265625
2024-08-08,9667.4228515625
2024-08-09,11023.22265625
2024-08-10,11351.1103515625
2024-08-11,10891.904296875
2024-08-12,9065.615234375
2024-08-14,10071.87890625
2024-08-15,9593.7685546875
2024-08-16,9958.1015625
2024-08-17,9948.259765625
2024-08-18,9847.8251953125
2024-08-19,9286.0498046875
2024-08-21,9114.869140625
2024-08-22,10013.1416015625
2024-08-23,10059.3271484375
2024-08-24,10679.935546875
2024-08-25,9998.369140625
2024-08-26,8997.7763671875
2024-08-28,9237.25390625
2024-08-29,10291.6923828125
2024-08-30,10149.3212890625
2024-08-31,10374.8310546875
2024-09-01,9425.607421875
2024-09-02,8967.8115234375
2024-09-04,8826.978515625
2024-09-05,9585.7646484375
2024-09-06,10103.3798828125
2024-09-07,10006.1298828125
2024-09-08,9693.1484375
2024-09-09,9186.6318359375
2024-09-11,8988.0048828125
2024-09-12,9577.3330078125
2024-09-13,9901.4912109375
2024-09-14,9413.94140625
2024-09-15,9606.5166015625
2024-09-16,8977.5830078125
2024-09-18,8371.638671875
2024-09-19,9657.6513671875
2024-09-20,9846.771484375
2024-09-21,9806.1806640625
2024-09-22,9900.5537109375
2024-09-23,8977.5830078125
2024-09-25,8988.0048828125
2024-09-26,9720.7001953125
2024-09-27,9850.6171875
2024-09-28,9475.09765625
2024-09-29,9623.763671875
2024-09-30,8808.18359375
2024-10-01,8817.20703125
2024-10-03,9480.486328125
2024-10-04,9604.380859375
2024-10-05,9878.0419921875
2024-10-06,9760.083984375
2024-10-07,8967.8115234375
2024-10-08,8967.8115234375
2024-10-10,9781.9365234375
2024-10-11,9726.744140625
2024-10-12,9708.1376953125
2024-10-13,9399.423828125
2024-10-14,9754.8017578125
2024-10-15,8629.359375
2024-10-17,9818.357421875
