fecha_reparto,Real,Predicción
2024-05-10,12499.816666663,13623.179124740094
2024-05-11,9879.591666661,12974.312827071237
2024-05-12,12151.991666659,13188.94030995955
2024-05-13,13842.991666662,12471.07435961722
2024-05-15,8664.699999984,12536.46995698604
2024-05-16,11739.374999989,11024.08540182212
2024-05-17,12266.549999964,12085.24655933554
2024-05-18,9196.966666627999,12500.179375985348
2024-05-19,11853.691666675,12296.361030023476
2024-05-20,12429.783333324,11419.964327287995
2024-05-22,9877.366666667,10030.886157433319
2024-05-23,10746.416666656,10066.507722206265
2024-05-24,12766.741666665,12871.32892019735
2024-05-25,9799.916666654999,12812.082552686026
2024-05-26,10401.599999982,12378.956961120288
2024-05-27,12062.199999978,12322.300023453845
2024-05-29,7990.474999992,11559.319434665224
2024-05-30,9377.716666643,10377.16387529556
2024-05-31,9465.149999994,10993.770283064063
2024-06-01,7142.566666666,10443.815761924792
2024-06-02,8624.824999995,12232.689710832898
2024-06-03,9917.708333332,11009.488636955455
2024-06-05,7771.599999992,10091.880160556379
2024-06-06,9524.049999981,12663.361242048793
2024-06-07,13792.766666644,12668.392287857512
2024-06-08,13546.841666637,12454.558427351116
2024-06-09,11894.149999976,15216.652005460004
2024-06-10,12223.274999975,13323.69747438679
2024-06-12,11193.541666639,10469.289625444815
2024-06-13,10989.866666652,11216.599063859909
2024-06-14,13316.51666663,11990.381371323738
2024-06-15,9023.841666659,9782.505214012204
2024-06-16,9020.908333327001,12151.525106090174
2024-06-17,11616.024999994,10416.911946272114
2024-06-19,7969.158333322,10038.728473699965
2024-06-20,9583.933333275,10196.208817007175
2024-06-21,10522.908333312,10474.007184738035
2024-06-22,9862.191666639,10877.445906009927
2024-06-23,7883.533333313,13793.673025048796
2024-06-24,11216.666666652,12284.924306325927
2024-06-26,7009.84999998,11390.719719780616
2024-06-27,10859.749999985,11586.03928948309
2024-06-28,14287.724999978,13246.616779150609
2024-06-29,9553.341666646,11112.59701783355
2024-06-30,8217.041666651,11797.99867326697
2024-07-01,7997.583333332,9266.227416889362
2024-07-03,7246.149999998,9255.74750517337
2024-07-04,8983.766666655,10133.497908085668
2024-07-05,10525.900000001,10375.988940013265
2024-07-06,8141.591666673,8671.7780883077
2024-07-07,11525.991666669,10270.340302808372
2024-07-08,14319.508333337,11184.677551355882
2024-07-10,9959.15,8283.257414226566
2024-07-11,10537.608333328,11327.479986409593
2024-07-12,10360.116666663,11420.316381161292
2024-07-13,9779.224999991,12018.633717639399
2024-07-14,8662.941666658,12450.708330243346
2024-07-15,10520.224999991,11979.057992519798
2024-07-17,7191.983333323,9010.339997682539
2024-07-18,9861.983333315,9901.383591548898
2024-07-19,13152.833333309,10788.213207178815
2024-07-20,11711.716666641,9811.600328110493
2024-07-21,9460.633333312,10050.415731349562
2024-07-22,11283.249999985,9504.376848789354
2024-07-24,8172.091666586,7682.433993590201
2024-07-25,12014.658333312,10792.301063068184
2024-07-26,14587.008333285,10166.960804121116
2024-07-27,14458.69166664,11992.037610051393
2024-07-28,10492.624999997,13515.813804746404
2024-07-31,13249.458333312,12539.590590040325
2024-08-01,8405.858333336,12487.38294906681
2024-08-02,8347.391666659,10466.868307887922
2024-08-03,9770.758333335,10211.143813628658
2024-08-04,11086.874999993,10364.247275916247
