Fecha,Real,Predicción
2024-08-21,8349.99166666,10782.236269763966
2024-08-22,8353.333333295,9337.31708382647
2024-08-23,9352.574999971,10683.390275951737
2024-08-24,10387.941666647,11031.270102503515
2024-08-25,8668.274999986,11183.996111582088
2024-08-26,10020.974999984,10218.027578471922
2024-08-28,8484.93333332,10756.493502242605
2024-08-29,9898.866666664,10460.707448657597
2024-08-30,11498.49999998,11760.526827264668
2024-08-31,10130.416666654,11393.162139553691
2024-09-01,6466.15,11282.887373359508
2024-09-02,7849.18,9641.4709052101
2024-09-04,7012.03,9951.819583539893
2024-09-05,8015.79,9607.055536859334
2024-09-06,10754.17,11646.191844710962
2024-09-07,8981.8,9640.040810991226
2024-09-08,9871.550000000001,10523.294037213022
2024-09-09,9941.84,9216.84267808228
2024-09-11,7835.33,7645.478980226391
2024-09-12,8091.82,8585.32130640193
2024-09-13,9521.67,10475.537784953385
2024-09-14,8557.24,9648.725868967458
2024-09-15,8465.87,10417.664453245357
2024-09-16,9821.76,8891.866479631413
2024-09-18,8216.87,7585.817868440699
2024-09-19,9762.3,9057.1165706706
2024-09-20,9060.63,10539.880123471741
2024-09-21,9178.88,10115.814147316605
2024-09-22,8377.02,10871.85258083944
2024-09-23,10258.92,8228.870421286982
2024-09-25,7429.43,7801.504035866663
2024-09-26,11776.14,9483.083536877873
2024-09-27,9220.67,10432.905380446473
2024-09-28,9579.13,10587.975149293801
2024-09-29,10142.58,10690.504064880675
2024-09-30,12127.0,8548.044361020597
2024-10-01,7418.46666666,7764.065288084066
2024-10-03,6488.283333356,9512.323855178558
2024-10-04,7314.025000002,10126.422543723758
2024-10-05,8521.016666672,10341.916896850955
2024-10-06,6683.333333326,11314.17348232105
2024-10-07,11286.416666629,8557.893087641081
2024-10-08,12522.574999954,8129.774110889102
2024-10-10,9634.566666628,9847.735262215805
2024-10-11,8144.808333303,10032.516641568389
2024-10-12,8342.524999965,8921.602728527852
2024-10-13,8064.633333305,9231.915186829738
2024-10-14,10829.708333331,9297.234380947883
2024-10-15,9548.100000021,8362.598535160581
2024-10-17,6976.791666689,10113.656390930204
2024-10-18,7811.008333277,9691.478813752146
2024-10-19,11795.099999966,9891.105937061613
2024-10-20,8945.141666634,9463.581308178189
2024-10-21,11647.008333321999,10471.746259288911
2024-10-22,10298.866666656,9335.19641742094
2024-10-24,7257.108333338,10535.606401414876
2024-10-25,8540.15000001,10110.43607579274
2024-10-26,11143.258333272,10228.026760326029
2024-10-27,8224.724999966,9898.973219996325
2024-10-28,11285.374999922,10573.506171192335
2024-10-29,10289.90833326,9385.037043290415
2024-10-31,8151.766666581,10000.618379342675
2024-11-01,7471.59,10093.329144663641
2024-11-02,6483.69,10364.389404584505
2024-11-03,7532.78,9936.426763532923
2024-11-04,8564.47,10280.337423827952
2024-11-06,7124.61,9743.02964555667
2024-11-07,7866.47,10924.577786465705
2024-11-08,12641.24,10651.795527646078
2024-11-09,8790.7,11003.035861455788
2024-11-10,11254.039999999999,11057.649721851256
2024-11-11,11313.73,10249.270434330818
2024-11-12,8508.93,9531.784305571593
2024-11-13,10314.05,9759.197966495152
2024-11-14,11013.63,10266.19349696831
2024-11-15,10354.62,10177.007756428755
2024-11-16,8921.91,9487.127900916812
2024-11-17,7702.1,10283.145656275736
2024-11-20,7658.44,8395.029680781445
2024-11-21,9150.26,9586.304133985353
2024-11-22,10751.99,10502.926812971577
2024-11-23,9107.2,10483.926553506702
2024-11-24,9365.460000000001,11460.973983775268
2024-11-25,10358.12,11194.914076756133
2024-11-26,7159.94,9298.351863541986
2024-11-27,7364.06,10496.331824819916
2024-11-28,10205.36,11341.67014949879
2024-11-29,7686.85,10356.007252577974
2024-11-30,9497.909999992,11067.155417578277
