fecha_reparto,Real,Predicción
2024-04-18,12785.233333331,10571.4482421875
2024-04-19,14694.208333271,12070.8857421875
2024-04-20,13201.966666641,19148.533203125
2024-04-21,15055.449999969,13740.982421875
2024-04-22,15573.199999962,20078.212890625
2024-04-24,10115.5583333,16497.400390625
2024-04-25,11201.049999968,16476.595703125
2024-04-26,15542.574999963,17420.357421875
2024-04-27,11103.491666616,14259.849609375
2024-04-28,12751.291666554,12771.9677734375
2024-04-29,13135.174999951,12658.572265625
2024-05-02,9691.883333328,13285.6484375
2024-05-03,12257.866666676,12570.6708984375
2024-05-04,12000.949999983,13822.6669921875
2024-05-05,19213.09166661,18542.880859375
2024-05-06,16497.741666641,13409.8740234375
2024-05-08,13493.908333277,19911.939453125
2024-05-09,11910.233333263,11013.8046875
2024-05-10,12499.816666663,11862.5693359375
2024-05-11,9879.591666661,12660.3896484375
2024-05-12,12151.991666659,13607.1396484375
2024-05-13,13842.991666662,13835.7021484375
2024-05-15,8664.699999984,13560.5478515625
2024-05-16,11739.374999989,12293.375
2024-05-17,12266.549999964,12007.2822265625
2024-05-18,9196.966666627999,12175.6005859375
2024-05-19,11853.691666675,18343.12890625
2024-05-20,12429.783333324,13089.74609375
2024-05-22,9877.366666667,19451.599609375
2024-05-23,10746.416666656,13055.021484375
2024-05-24,12766.741666665,13641.0615234375
2024-05-25,9799.916666654999,11633.66796875
2024-05-26,10401.599999982,13927.0478515625
2024-05-27,12062.199999978,13496.3056640625
2024-05-29,7990.474999992,11870.6572265625
2024-05-30,9377.716666643,12109.4794921875
2024-05-31,9465.149999994,12865.328125
2024-06-01,7142.566666666,11816.2158203125
2024-06-02,8624.824999995,12550.7734375
2024-06-03,9917.708333332,13201.1044921875
2024-06-05,7771.599999992,11676.7216796875
2024-06-06,9524.049999981,12036.408203125
2024-06-07,13792.766666644,13169.3828125
2024-06-08,13546.841666637,11710.6357421875
2024-06-09,11894.149999976,13432.8896484375
2024-06-10,12223.274999975,14166.1884765625
2024-06-12,11193.541666639,11664.6708984375
2024-06-13,10989.866666652,12035.646484375
2024-06-14,13316.51666663,13358.0048828125
2024-06-15,9023.841666659,11884.392578125
2024-06-16,9020.908333327001,14770.5908203125
2024-06-17,11616.024999994,13533.462890625
2024-06-19,7969.158333322,13521.5986328125
2024-06-20,9583.933333275,13493.953125
2024-06-21,10522.908333312,14172.16015625
2024-06-22,9862.191666639,11460.181640625
2024-06-23,7883.533333313,14456.9453125
2024-06-24,11216.666666652,13055.7578125
2024-06-26,7009.84999998,11063.2841796875
2024-06-27,10859.749999985,12757.7080078125
2024-06-28,14287.724999978,13168.396484375
2024-06-29,9553.341666646,9901.5322265625
2024-06-30,8217.041666651,11334.03515625
